Id,Nome,Type,Altura,Peso,Urls das Habilidades,Nomes das Habilidades,Evoluções
0072,Tentacool,"Water,Poison,Route 11,13,17,18,19,20,21,Pallet Town,Seafoam Islands,Vermilion City",0.9 m (2′11″),45.5 kg (100.3 lbs),"/ability/clear-body,/ability/liquid-ooze,/ability/rain-dish","clear-body,liquid-ooze,rain-dish","Tentacool,Tentacruel"
0071,Victreebel,"Grass,Poison",1.7 m (5′07″),15.5 kg (34.2 lbs),"/ability/chlorophyll,/ability/gluttony","chlorophyll,gluttony","Bellsprout,Weepinbell,Victreebel"
0070,Weepinbell,"Grass,Poison,Route 12,13,14,15",1.0 m (3′03″),6.4 kg (14.1 lbs),"/ability/chlorophyll,/ability/gluttony","chlorophyll,gluttony","Bellsprout,Weepinbell,Victreebel"
0069,Bellsprout,"Grass,Poison,Route 5,6,7,12,13,14,15,24,25",0.7 m (2′04″),4.0 kg (8.8 lbs),"/ability/chlorophyll,/ability/gluttony","chlorophyll,gluttony","Bellsprout,Weepinbell,Victreebel"
0068,Machamp,Fighting,1.6 m (5′03″),130.0 kg (286.6 lbs),"/ability/guts,/ability/no-guard,/ability/steadfast,/pokedex/machop,/pokedex/machoke","guts,no-guard,steadfast,machop,machoke","Machop,Machoke,Machamp"
0067,Machoke,"Fighting,Route 5,Underground Path 5-6,Victory Road",1.5 m (4′11″),70.5 kg (155.4 lbs),"/ability/guts,/ability/no-guard,/ability/steadfast","guts,no-guard,steadfast","Machop,Machoke,Machamp"
0095,Onix,"Rock,Ground,Mt. Silver,Rock Tunnel,Union Cave,Violet City,Victory Road",8.8 m (28′10″),210.0 kg (463.0 lbs),"/ability/rock-head,/ability/sturdy,/ability/weak-armor","rock-head,sturdy,weak-armor","Onix,Steelix"
0094,Gengar,"Ghost,Poison,Ghost,Poison",1.5 m (4′11″),40.5 kg (89.3 lbs),"/ability/cursed-body,/ability/shadow-tag","cursed-body,shadow-tag","Gastly,Haunter,Gengar"
0093,Haunter,"Ghost,Poison,Route 8",1.6 m (5′03″),0.1 kg (0.2 lbs),/ability/levitate,levitate,"Gastly,Haunter,Gengar"
0092,Gastly,"Ghost,Poison,Sprout Tower,Tin Tower",1.3 m (4′03″),0.1 kg (0.2 lbs),/ability/levitate,levitate,"Gastly,Haunter,Gengar"
0091,Cloyster,"Water,Ice",1.5 m (4′11″),132.5 kg (292.1 lbs),"/ability/shell-armor,/ability/skill-link,/ability/overcoat,/pokedex/shellder","shell-armor,skill-link,overcoat,shellder","Shellder,Cloyster"
0090,Shellder,"Water,Route 17,18,Vermilion City",0.3 m (1′00″),4.0 kg (8.8 lbs),"/ability/shell-armor,/ability/skill-link,/ability/overcoat","shell-armor,skill-link,overcoat","Shellder,Cloyster"
0089,Muk,"Poison,Poison,Dark,Cinnabar Island,Power Plant,Pokémon Mansion",1.2 m (3′11″),30.0 kg (66.1 lbs),"/ability/stench,/ability/sticky-hold,/ability/poison-touch,/ability/poison-touch,/ability/gluttony,/ability/power-of-alchemy,/pokedex/grimer","stench,sticky-hold,poison-touch,poison-touch,gluttony,power-of-alchemy,grimer","Grimer,Muk,Grimer,Muk"
0088,Grimer,"Poison,Poison,Dark,Power Plant,Pokémon Mansion",0.9 m (2′11″),30.0 kg (66.1 lbs),"/ability/stench,/ability/sticky-hold,/ability/poison-touch,/ability/poison-touch,/ability/gluttony,/ability/power-of-alchemy","stench,sticky-hold,poison-touch,poison-touch,gluttony,power-of-alchemy","Grimer,Muk,Grimer,Muk"
0120,Staryu,"Water,Route 19,20,21,Pallet Town,Seafoam Islands,Vermilion City",0.8 m (2′07″),34.5 kg (76.1 lbs),"/ability/illuminate,/ability/natural-cure,/ability/analytic","illuminate,natural-cure,analytic","Staryu,Starmie"
0119,Seaking,"Water,Route 24,Cerulean Cave",1.3 m (4′03″),39.0 kg (86.0 lbs),"/ability/swift-swim,/ability/water-veil,/ability/lightning-rod","swift-swim,water-veil,lightning-rod","Goldeen,Seaking"
0118,Goldeen,"Water,Route 4,9,10,24,25,42,Cerulean City,Dark Cave,Mt. Mortar,Mt. Silver,Slowpoke Well,Tohjo Falls,Union Cave",0.6 m (2′00″),15.0 kg (33.1 lbs),"/ability/swift-swim,/ability/water-veil,/ability/lightning-rod","swift-swim,water-veil,lightning-rod","Goldeen,Seaking"
0117,Seadra,"Water,Route 23,Cerulean Cave",1.2 m (3′11″),25.0 kg (55.1 lbs),"/ability/poison-point,/ability/sniper,/ability/damp","poison-point,sniper,damp","Horsea,Seadra,Kingdra"
0116,Horsea,"Water,Route 10,11,12,13,Vermilion City",0.4 m (1′04″),8.0 kg (17.6 lbs),"/ability/swift-swim,/ability/sniper,/ability/damp","swift-swim,sniper,damp","Horsea,Seadra,Kingdra"
0115,Kangaskhan,"Normal,Normal,Rock Tunnel",2.2 m (7′03″),80.0 kg (176.4 lbs),"/ability/early-bird,/ability/scrappy,/ability/inner-focus,/ability/parental-bond","early-bird,scrappy,inner-focus,parental-bond",
0114,Tangela,"Grass,Safari Zone",1.0 m (3′03″),35.0 kg (77.2 lbs),"/ability/chlorophyll,/ability/leaf-guard,/ability/regenerator","chlorophyll,leaf-guard,regenerator","Tangela,Tangrowth"
0113,Chansey,"Normal,Route 13,14,15",1.1 m (3′07″),34.6 kg (76.3 lbs),"/ability/natural-cure,/ability/serene-grace,/ability/healer","natural-cure,serene-grace,healer","Happiny,Chansey,Blissey"
0144,Articuno,"Ice,Flying,Psychic,Flying",1.7 m (5′07″),55.4 kg (122.1 lbs),"/ability/pressure,/ability/snow-cloak,/ability/competitive","pressure,snow-cloak,competitive",
0143,Snorlax,"Normal,Vermilion City",2.1 m (6′11″),460.0 kg (1014.1 lbs),"/ability/immunity,/ability/thick-fat,/ability/gluttony,/pokedex/munchlax","immunity,thick-fat,gluttony,munchlax","Munchlax,Snorlax"
0142,Aerodactyl,"Rock,Flying,Rock,Flying,Route 14",1.8 m (5′11″),59.0 kg (130.1 lbs),"/ability/rock-head,/ability/pressure,/ability/unnerve,/ability/tough-claws","rock-head,pressure,unnerve,tough-claws",
0141,Kabutops,"Rock,Water",1.3 m (4′03″),40.5 kg (89.3 lbs),"/ability/swift-swim,/ability/battle-armor,/ability/weak-armor,/pokedex/kabuto","swift-swim,battle-armor,weak-armor,kabuto","Kabuto,Kabutops"
0140,Kabuto,"Rock,Water",0.5 m (1′08″),11.5 kg (25.4 lbs),"/ability/swift-swim,/ability/battle-armor,/ability/weak-armor","swift-swim,battle-armor,weak-armor","Kabuto,Kabutops"
0139,Omastar,"Rock,Water",1.0 m (3′03″),35.0 kg (77.2 lbs),"/ability/swift-swim,/ability/shell-armor,/ability/weak-armor,/pokedex/omanyte","swift-swim,shell-armor,weak-armor,omanyte","Omanyte,Omastar"
0138,Omanyte,"Rock,Water",0.4 m (1′04″),7.5 kg (16.5 lbs),"/ability/swift-swim,/ability/shell-armor,/ability/weak-armor","swift-swim,shell-armor,weak-armor","Omanyte,Omastar"
0137,Porygon,"Normal,Celadon City",0.8 m (2′07″),36.5 kg (80.5 lbs),"/ability/trace,/ability/download,/ability/analytic","trace,download,analytic","Porygon,Porygon2,Porygon-Z"
0163,Hoothoot,"Normal,Flying,Route 1,2,5,25,26,27,29,30,31,32,34,35,36,37,38,39,43,Ilex Forest,Lake of Rage,National Park",0.7 m (2′04″),21.2 kg (46.7 lbs),"/ability/insomnia,/ability/keen-eye,/ability/tinted-lens","insomnia,keen-eye,tinted-lens","Hoothoot,Noctowl"
0162,Furret,"Normal,Route 1,43",1.8 m (5′11″),32.5 kg (71.7 lbs),"/ability/run-away,/ability/keen-eye,/ability/frisk,/pokedex/sentret","run-away,keen-eye,frisk,sentret","Sentret,Furret"
0161,Sentret,"Normal,Route 1,29,43",0.8 m (2′07″),6.0 kg (13.2 lbs),"/ability/run-away,/ability/keen-eye,/ability/frisk","run-away,keen-eye,frisk","Sentret,Furret"
0160,Feraligatr,Water,2.3 m (7′07″),88.8 kg (195.8 lbs),"/ability/torrent,/ability/sheer-force","torrent,sheer-force","Totodile,Croconaw,Feraligatr"
0159,Croconaw,Water,1.1 m (3′07″),25.0 kg (55.1 lbs),"/ability/torrent,/ability/sheer-force","torrent,sheer-force","Totodile,Croconaw,Feraligatr"
0158,Totodile,Water,0.6 m (2′00″),9.5 kg (20.9 lbs),"/ability/torrent,/ability/sheer-force","torrent,sheer-force","Totodile,Croconaw,Feraligatr"
0157,Typhlosion,"Fire,Fire,Ghost",1.7 m (5′07″),79.5 kg (175.3 lbs),"/ability/blaze,/ability/flash-fire,/ability/blaze,/ability/frisk","blaze,flash-fire,blaze,frisk","Cyndaquil,Quilava"
0156,Quilava,Fire,0.9 m (2′11″),19.0 kg (41.9 lbs),"/ability/blaze,/ability/flash-fire","blaze,flash-fire","Cyndaquil,Quilava"
0184,Azumarill,"Water,Fairy",0.8 m (2′07″),28.5 kg (62.8 lbs),"/ability/thick-fat,/ability/huge-power,/ability/sap-sipper","thick-fat,huge-power,sap-sipper","Azurill,Marill,Azumarill"
0183,Marill,"Water,Fairy,Route 30,42,Mt. Mortar",0.4 m (1′04″),8.5 kg (18.7 lbs),"/ability/thick-fat,/ability/huge-power,/ability/sap-sipper","thick-fat,huge-power,sap-sipper","Azurill,Marill,Azumarill"
0182,Bellossom,Grass,0.4 m (1′04″),5.8 kg (12.8 lbs),"/ability/chlorophyll,/ability/healer","chlorophyll,healer","Oddish,Gloom"
0181,Ampharos,"Electric,Electric,Dragon",1.4 m (4′07″),61.5 kg (135.6 lbs),"/ability/static,/ability/plus,/ability/mold-breaker","static,plus,mold-breaker","Mareep,Flaaffy,Ampharos"
0180,Flaaffy,Electric,0.8 m (2′07″),13.3 kg (29.3 lbs),"/ability/static,/ability/plus","static,plus","Mareep,Flaaffy,Ampharos"
0179,Mareep,Electric,0.6 m (2′00″),7.8 kg (17.2 lbs),"/ability/static,/ability/plus","static,plus","Mareep,Flaaffy,Ampharos"
0178,Xatu,"Psychic,Flying,Pewter City",1.5 m (4′11″),15.0 kg (33.1 lbs),"/ability/synchronize,/ability/early-bird,/ability/magic-bounce,/pokedex/natu","synchronize,early-bird,magic-bounce,natu","Natu,Xatu"
0177,Natu,"Psychic,Flying,Safari Zone",0.2 m (0′08″),2.0 kg (4.4 lbs),"/ability/synchronize,/ability/early-bird,/ability/magic-bounce","synchronize,early-bird,magic-bounce","Natu,Xatu"
0205,Forretress,"Bug,Steel",1.2 m (3′11″),125.8 kg (277.3 lbs),"/ability/sturdy,/ability/overcoat","sturdy,overcoat","Pineco,Forretress"
0204,Pineco,"Bug,Route 26,27,29,30,31,32,34,35,36,37,38,39,43,Ilex Forest,Lake of Rage",0.6 m (2′00″),7.2 kg (15.9 lbs),"/ability/sturdy,/ability/overcoat","sturdy,overcoat","Pineco,Forretress"
0203,Girafarig,"Normal,Psychic",1.5 m (4′11″),41.5 kg (91.5 lbs),"/ability/inner-focus,/ability/early-bird,/ability/sap-sipper","inner-focus,early-bird,sap-sipper","Girafarig,Farigiraf"
0202,Wobbuffet,"Psychic,Dark Cave,Goldenrod City",1.3 m (4′03″),28.5 kg (62.8 lbs),"/ability/shadow-tag,/ability/telepathy","shadow-tag,telepathy","Wynaut,Wobbuffet"
0201,Unown,Psychic,0.5 m (1′08″),5.0 kg (11.0 lbs),/ability/levitate,levitate,
0200,Misdreavus,Ghost,0.7 m (2′04″),1.0 kg (2.2 lbs),/ability/levitate,levitate,"Misdreavus,Mismagius"
0199,Slowking,"Water,Psychic,Poison,Psychic",2.0 m (6′07″),79.5 kg (175.3 lbs),"/ability/oblivious,/ability/own-tempo,/ability/regenerator,/ability/curious-medicine,/ability/own-tempo,/ability/regenerator,/pokedex/slowpoke","oblivious,own-tempo,regenerator,curious-medicine,own-tempo,regenerator,slowpoke","Slowpoke,Slowpoke"
0198,Murkrow,"Dark,Flying",0.5 m (1′08″),2.1 kg (4.6 lbs),"/ability/insomnia,/ability/super-luck,/ability/prankster","insomnia,super-luck,prankster","Murkrow,Honchkrow"
0224,Octillery,Water,0.9 m (2′11″),28.5 kg (62.8 lbs),"/ability/suction-cups,/ability/sniper,/ability/moody","suction-cups,sniper,moody","Remoraid,Octillery"
0223,Remoraid,Water,0.6 m (2′00″),12.0 kg (26.5 lbs),"/ability/hustle,/ability/sniper,/ability/moody","hustle,sniper,moody","Remoraid,Octillery"
0222,Corsola,"Water,Rock,Ghost,Route 19,20,21,34,40,41,Cherrygrove City,Cianwood City,Olivine City,Union Cave",0.6 m (2′00″),5.0 kg (11.0 lbs),"/ability/hustle,/ability/natural-cure,/ability/regenerator,/ability/weak-armor,/ability/cursed-body","hustle,natural-cure,regenerator,weak-armor,cursed-body","Corsola,Cursola"
0221,Piloswine,"Ice,Ground",1.1 m (3′07″),55.8 kg (123.0 lbs),"/ability/oblivious,/ability/snow-cloak,/ability/thick-fat","oblivious,snow-cloak,thick-fat","Swinub,Piloswine,Mamoswine"
0220,Swinub,"Ice,Ground",0.4 m (1′04″),6.5 kg (14.3 lbs),"/ability/oblivious,/ability/snow-cloak,/ability/thick-fat","oblivious,snow-cloak,thick-fat","Swinub,Piloswine,Mamoswine"
0219,Magcargo,"Fire,Rock",0.8 m (2′07″),55.0 kg (121.3 lbs),"/ability/magma-armor,/ability/flame-body,/ability/weak-armor,/pokedex/slugma","magma-armor,flame-body,weak-armor,slugma","Slugma,Magcargo"
0218,Slugma,"Fire,Fiery Path",0.7 m (2′04″),35.0 kg (77.2 lbs),"/ability/magma-armor,/ability/flame-body,/ability/weak-armor","magma-armor,flame-body,weak-armor","Slugma,Magcargo"
0217,Ursaring,Normal,1.8 m (5′11″),125.8 kg (277.3 lbs),"/ability/guts,/ability/quick-feet,/ability/unnerve","guts,quick-feet,unnerve","Teddiursa,Ursaring,Ursaluna"
0235,Smeargle,Normal,1.2 m (3′11″),58.0 kg (127.9 lbs),"/ability/own-tempo,/ability/technician,/ability/moody","own-tempo,technician,moody",
0234,Stantler,"Normal,Route 37",1.4 m (4′07″),71.2 kg (157.0 lbs),"/ability/intimidate,/ability/frisk,/ability/sap-sipper","intimidate,frisk,sap-sipper","Stantler,Wyrdeer"
0233,Porygon2,Normal,0.6 m (2′00″),32.5 kg (71.7 lbs),"/ability/trace,/ability/download,/ability/analytic","trace,download,analytic","Porygon,Porygon2,Porygon-Z"
0232,Donphan,"Ground,Route 28,Mt. Silver,Victory Road",1.1 m (3′07″),120.0 kg (264.6 lbs),"/ability/sturdy,/ability/sand-veil","sturdy,sand-veil","Phanpy,Donphan"
0231,Phanpy,"Ground,Route 45",0.5 m (1′08″),33.5 kg (73.9 lbs),"/ability/pickup,/ability/sand-veil","pickup,sand-veil","Phanpy,Donphan"
0230,Kingdra,"Water,Dragon",1.8 m (5′11″),152.0 kg (335.1 lbs),"/ability/swift-swim,/ability/sniper,/ability/damp,/pokedex/horsea,/pokedex/seadra","swift-swim,sniper,damp,horsea,seadra","Horsea,Seadra,Kingdra"
0229,Houndoom,"Dark,Fire,Dark,Fire",1.4 m (4′07″),35.0 kg (77.2 lbs),"/ability/early-bird,/ability/flash-fire,/ability/unnerve,/ability/solar-power,/pokedex/houndour","early-bird,flash-fire,unnerve,solar-power,houndour","Houndour,Houndoom"
0228,Houndour,"Dark,Fire",0.6 m (2′00″),10.8 kg (23.8 lbs),"/ability/early-bird,/ability/flash-fire,/ability/unnerve","early-bird,flash-fire,unnerve","Houndour,Houndoom"
0250,Ho-oh,"Fire,Flying",3.8 m (12′06″),199.0 kg (438.7 lbs),"/ability/pressure,/ability/regenerator","pressure,regenerator",
0249,Lugia,"Psychic,Flying",5.2 m (17′01″),216.0 kg (476.2 lbs),"/ability/pressure,/ability/multiscale","pressure,multiscale",
0248,Tyranitar,"Rock,Dark,Rock,Dark",2.0 m (6′07″),202.0 kg (445.3 lbs),"/ability/sand-stream,/ability/unnerve,/ability/sand-stream","sand-stream,unnerve,sand-stream","Larvitar,Pupitar,Tyranitar"
0247,Pupitar,"Rock,Ground,Mt. Silver",1.2 m (3′11″),152.0 kg (335.1 lbs),"/ability/shed-skin,/pokedex/larvitar","shed-skin,larvitar","Larvitar,Pupitar,Tyranitar"
0246,Larvitar,"Rock,Ground,Celadon City,Mt. Silver",0.6 m (2′00″),72.0 kg (158.7 lbs),"/ability/guts,/ability/sand-veil","guts,sand-veil","Larvitar,Pupitar,Tyranitar"
0245,Suicune,"Water,Tin Tower",2.0 m (6′07″),187.0 kg (412.3 lbs),"/ability/pressure,/ability/inner-focus","pressure,inner-focus",
0244,Entei,Fire,2.1 m (6′11″),198.0 kg (436.5 lbs),"/ability/pressure,/ability/inner-focus","pressure,inner-focus",
0243,Raikou,Electric,1.9 m (6′03″),178.0 kg (392.4 lbs),"/ability/pressure,/ability/inner-focus","pressure,inner-focus",
0266,Silcoon,Bug,0.6 m (2′00″),10.0 kg (22.0 lbs),/ability/shed-skin,shed-skin,Wurmple
0265,Wurmple,Bug,0.3 m (1′00″),3.6 kg (7.9 lbs),"/ability/shield-dust,/ability/run-away","shield-dust,run-away",Wurmple
0264,Linoone,"Normal,Dark,Normal",0.5 m (1′08″),32.5 kg (71.7 lbs),"/ability/pickup,/ability/gluttony,/ability/quick-feet,/ability/pickup,/ability/gluttony,/ability/quick-feet","pickup,gluttony,quick-feet,pickup,gluttony,quick-feet","Zigzagoon,Linoone,Zigzagoon,Linoone,Obstagoon"
0263,Zigzagoon,"Normal,Dark,Normal",0.4 m (1′04″),17.5 kg (38.6 lbs),"/ability/pickup,/ability/gluttony,/ability/quick-feet,/ability/pickup,/ability/gluttony,/ability/quick-feet","pickup,gluttony,quick-feet,pickup,gluttony,quick-feet","Zigzagoon,Linoone,Zigzagoon,Linoone,Obstagoon"
0262,Mightyena,Dark,1.0 m (3′03″),37.0 kg (81.6 lbs),"/ability/intimidate,/ability/quick-feet,/ability/moxie,/pokedex/poochyena","intimidate,quick-feet,moxie,poochyena","Poochyena,Mightyena"
0261,Poochyena,Dark,0.5 m (1′08″),13.6 kg (30.0 lbs),"/ability/run-away,/ability/quick-feet,/ability/rattled","run-away,quick-feet,rattled","Poochyena,Mightyena"
0260,Swampert,"Water,Ground,Water,Ground",1.5 m (4′11″),81.9 kg (180.6 lbs),"/ability/torrent,/ability/damp,/ability/swift-swim","torrent,damp,swift-swim","Mudkip,Marshtomp,Swampert"
0259,Marshtomp,"Water,Ground",0.7 m (2′04″),28.0 kg (61.7 lbs),"/ability/torrent,/ability/damp","torrent,damp","Mudkip,Marshtomp,Swampert"
0297,Hariyama,Fighting,2.3 m (7′07″),253.8 kg (559.5 lbs),"/ability/thick-fat,/ability/guts,/ability/sheer-force","thick-fat,guts,sheer-force","Makuhita,Hariyama"
0296,Makuhita,Fighting,1.0 m (3′03″),86.4 kg (190.5 lbs),"/ability/thick-fat,/ability/guts,/ability/sheer-force","thick-fat,guts,sheer-force","Makuhita,Hariyama"
0295,Exploud,Normal,1.5 m (4′11″),84.0 kg (185.2 lbs),"/ability/soundproof,/ability/scrappy,/pokedex/whismur,/pokedex/loudred","soundproof,scrappy,whismur,loudred","Whismur,Loudred,Exploud"
0294,Loudred,Normal,1.0 m (3′03″),40.5 kg (89.3 lbs),"/ability/soundproof,/ability/scrappy","soundproof,scrappy","Whismur,Loudred,Exploud"
0293,Whismur,Normal,0.6 m (2′00″),16.3 kg (35.9 lbs),"/ability/soundproof,/ability/rattled","soundproof,rattled","Whismur,Loudred,Exploud"
0292,Shedinja,"Bug,Ghost",0.8 m (2′07″),1.2 kg (2.6 lbs),"/ability/wonder-guard,/pokedex/nincada","wonder-guard,nincada",Nincada
0291,Ninjask,"Bug,Flying",0.8 m (2′07″),12.0 kg (26.5 lbs),"/ability/speed-boost,/ability/infiltrator,/pokedex/nincada","speed-boost,infiltrator,nincada",Nincada
0290,Nincada,"Bug,Ground",0.5 m (1′08″),5.5 kg (12.1 lbs),"/ability/compound-eyes,/ability/run-away","compound-eyes,run-away",Nincada
0306,Aggron,"Steel,Rock,Steel",2.1 m (6′11″),360.0 kg (793.7 lbs),"/ability/sturdy,/ability/rock-head,/ability/heavy-metal,/ability/filter,/pokedex/aron,/pokedex/lairon","sturdy,rock-head,heavy-metal,filter,aron,lairon","Aron,Lairon,Aggron"
0305,Lairon,"Steel,Rock",0.9 m (2′11″),120.0 kg (264.6 lbs),"/ability/sturdy,/ability/rock-head,/ability/heavy-metal,/pokedex/aron","sturdy,rock-head,heavy-metal,aron","Aron,Lairon,Aggron"
0304,Aron,"Steel,Rock",0.4 m (1′04″),60.0 kg (132.3 lbs),"/ability/sturdy,/ability/rock-head,/ability/heavy-metal","sturdy,rock-head,heavy-metal","Aron,Lairon,Aggron"
0303,Mawile,"Steel,Fairy,Steel,Fairy",0.6 m (2′00″),11.5 kg (25.4 lbs),"/ability/hyper-cutter,/ability/intimidate,/ability/sheer-force,/ability/huge-power","hyper-cutter,intimidate,sheer-force,huge-power",
0302,Sableye,"Dark,Ghost,Dark,Ghost,Cave of Origin,Granite Cave,Sky Pillar,Victory Road",0.5 m (1′08″),11.0 kg (24.3 lbs),"/ability/keen-eye,/ability/stall,/ability/prankster,/ability/magic-bounce","keen-eye,stall,prankster,magic-bounce",
0301,Delcatty,Normal,1.1 m (3′07″),32.6 kg (71.9 lbs),"/ability/cute-charm,/ability/normalize,/ability/wonder-skin","cute-charm,normalize,wonder-skin","Skitty,Delcatty"
0300,Skitty,Normal,0.6 m (2′00″),11.0 kg (24.3 lbs),"/ability/cute-charm,/ability/normalize,/ability/wonder-skin","cute-charm,normalize,wonder-skin","Skitty,Delcatty"
0299,Nosepass,Rock,1.0 m (3′03″),97.0 kg (213.8 lbs),"/ability/sturdy,/ability/magnet-pull,/ability/sand-force","sturdy,magnet-pull,sand-force","Nosepass,Probopass"
0324,Torkoal,Fire,0.5 m (1′08″),80.4 kg (177.3 lbs),"/ability/white-smoke,/ability/drought,/ability/shell-armor","white-smoke,drought,shell-armor",
0323,Camerupt,"Fire,Ground,Fire,Ground",1.9 m (6′03″),220.0 kg (485.0 lbs),"/ability/magma-armor,/ability/solid-rock,/ability/anger-point,/ability/sheer-force","magma-armor,solid-rock,anger-point,sheer-force","Numel,Camerupt"
0322,Numel,"Fire,Ground",0.7 m (2′04″),24.0 kg (52.9 lbs),"/ability/oblivious,/ability/simple,/ability/own-tempo","oblivious,simple,own-tempo","Numel,Camerupt"
0321,Wailord,Water,14.5 m (47′07″),398.0 kg (877.4 lbs),"/ability/water-veil,/ability/oblivious,/ability/pressure","water-veil,oblivious,pressure","Wailmer,Wailord"
0320,Wailmer,Water,2.0 m (6′07″),130.0 kg (286.6 lbs),"/ability/water-veil,/ability/oblivious,/ability/pressure","water-veil,oblivious,pressure","Wailmer,Wailord"
0319,Sharpedo,"Water,Dark,Water,Dark",1.8 m (5′11″),88.8 kg (195.8 lbs),"/ability/rough-skin,/ability/speed-boost,/ability/strong-jaw","rough-skin,speed-boost,strong-jaw","Carvanha,Sharpedo"
0318,Carvanha,"Water,Dark",0.8 m (2′07″),20.8 kg (45.9 lbs),"/ability/rough-skin,/ability/speed-boost","rough-skin,speed-boost","Carvanha,Sharpedo"
